Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Population ages 40-44, male (% of male population);SP.POP.4044.MA.5Y;4.451382205;4.561831563;4.738226755;4.933819602;5.07530451;5.142988855;5.140500602;5.064414263;4.948215215;4.843500383;4.76842642;4.718000116;4.69423784;4.685032667;4.665817794;4.627444215;4.575711947;4.514621003;4.441961264;4.348507889;4.238704591;4.165708501;4.092400931;3.989681969;3.917010768;3.882646718;3.883630305;3.917267092;3.978783727;4.125025804;4.360514895;4.585888166;4.781601693;4.954135782;5.072654025;5.158101657;5.256223153;5.366694527;5.486347042;5.607758834;5.716756092;5.803208784;5.867781746;5.916019188;5.951487285;5.986889528;6.035033158;6.093223061;6.156910925;6.226635534;6.298313219;6.364792941;6.416570276;6.460677498;6.573432017;6.742538727;6.864137269;6.986148045;7.176215924;7.435426165;7.763451922;8.128531322;8.489621145
Population ages 30-34, male (% of male population);SP.POP.3034.MA.5Y;6.605930915;6.521128543;6.479266268;6.460893911;6.434119451;6.384270001;6.320448551;6.243930973;6.149301095;6.03143741;5.897427365;5.751339981;5.600835174;5.467479453;5.371536712;5.329111893;5.319183891;5.33993636;5.399713988;5.573376091;5.831059;6.212643036;6.546100279;6.712236466;6.786715839;6.785655412;6.791106122;6.806716145;6.831128056;6.863874349;6.970973459;7.06566042;7.061913534;6.951852696;6.829955306;6.797830115;6.80258761;6.845464716;6.917632168;7.007450747;7.109036182;7.214848786;7.266119075;7.321620699;7.449017034;7.611044899;7.828346241;8.107083997;8.437388616;8.820215094;9.231530928;9.604469167;9.959152296;10.2996196;10.51415264;10.61374608;10.68406507;10.68431285;10.57953576;10.38824372;10.1272669;9.823783238;9.492005322
Population ages 20-24, male (% of male population);SP.POP.2024.MA.5Y;7.825130163;7.611995627;7.401902915;7.21831591;7.094790286;7.046894655;7.058181691;7.114807187;7.213854164;7.481763415;7.881611689;8.247895139;8.582419551;8.890376966;9.051029021;9.090446319;9.114249581;9.132238241;9.16473772;9.191428425;9.189428398;9.332836781;9.395127776;9.225773462;9.049965293;8.890493188;8.762954836;8.665869694;8.591460102;8.547222783;8.6445661;8.736250118;8.670483758;8.463041581;8.31138381;8.363899764;8.529801327;8.826131389;9.228443398;9.706536174;10.22570191;10.71830017;11.14504944;11.57817043;11.98699683;12.29069567;12.48869212;12.51756086;12.37486446;12.12542701;11.80283486;11.43682446;11.02516539;10.54345448;9.874544148;9.059358144;8.302812559;7.666374304;7.149654766;6.765341566;6.497312874;6.333218159;6.249143386
Population ages 15-64, male (% of male population);SP.POP.1564.MA.ZS;52.54142092;52.1272278;51.8233077;51.60411898;51.6112045;51.79682493;51.94848941;52.05256347;52.14153134;52.24595337;52.38761935;52.55947451;52.77779791;53.04612428;53.31612356;53.56492844;53.68399393;53.70473562;53.70983508;53.6465618;53.53646492;54.09581271;54.51987346;54.23214491;53.97942328;53.7537322;53.54540321;53.36918623;53.24424354;53.23320758;53.7476033;54.38318409;54.70607356;54.73965639;55.03702703;55.96488683;57.09927053;58.47034812;60.02012939;61.61182671;63.2116972;64.77360136;66.09458565;67.36702764;68.70950247;69.92708158;71.01319646;71.90941514;72.56068833;72.9450586;73.08497205;72.99944586;72.72441073;72.34027175;71.73382315;71.01578959;70.45826866;70.0022191;69.58951644;69.29197961;69.09604317;69.00637959;69.00462416
Population ages 15-19, male (% of male population);SP.POP.1519.MA.5Y;8.076849364;8.080372565;8.161436703;8.302540133;8.640707765;9.123557011;9.557006525;9.941820154;10.28746326;10.46452471;10.50182032;10.55077176;10.61616776;10.69570794;10.77522468;10.82409714;10.81628427;10.76432963;10.67980519;10.55979945;10.439902;10.36303922;10.26480512;10.13003528;10.01738476;9.917025679;9.821273421;9.723062017;9.634570572;9.583484877;9.59623796;9.661541428;9.783130043;9.995828995;10.35376487;10.82514532;11.30002483;11.79243643;12.28263589;12.6810624;12.9753687;13.16726105;13.21370057;13.10545312;12.87767443;12.55911657;12.20267608;11.80332107;11.31638906;10.69395031;9.94305074;9.108628627;8.266697964;7.529872008;7.064359889;6.887662054;6.75894689;6.621425751;6.525446761;6.469309105;6.46974058;6.532516827;6.641447085
Population ages 05-09, male (% of male population);SP.POP.0509.MA.5Y;14.30077572;14.36952292;14.44684183;14.53293139;14.62045621;14.67166212;14.66690331;14.62431162;14.54904716;14.44081924;14.33994075;14.28674761;14.26866354;14.2612914;14.25683459;14.22830027;14.17239113;14.06727569;13.91580555;13.77147423;13.66787163;13.44408262;13.35616896;13.56421782;13.83675893;14.14238759;14.4153309;14.7027216;15.00904631;15.22927013;15.20625747;15.09363564;15.00043253;14.9348417;14.77799244;14.4141367;14.02210902;13.57749275;13.02147537;12.30666202;11.43562739;10.4679806;9.55015123;8.73204223;8.07552762;7.648120779;7.387370489;7.246120638;7.167685676;7.121838853;7.103223269;7.125085979;7.195104439;7.304292536;7.501363637;7.737303102;7.886516616;7.999605562;8.153687343;8.340319934;8.538558751;8.708246856;8.808278863
Population ages 0-14, male (% of male population);SP.POP.0014.MA.ZS;43.2219019;43.77214633;44.21057385;44.55512491;44.65357133;44.55443119;44.47073041;44.4163654;44.36577798;44.29575751;44.18725563;44.04538901;43.8537109;43.61130557;43.36765101;43.14664837;43.05475;43.06297568;43.09395083;43.19736673;43.34790294;42.85167058;42.49085352;42.81887799;43.09414113;43.32162453;43.51209842;43.65031447;43.72586636;43.6860111;43.14042758;42.47830424;42.11293873;42.01584686;41.64525912;40.64962229;39.44413413;38.00143797;36.37947723;34.71515139;33.04422847;31.41211963;30.0032649;28.64308926;27.23035961;25.94332547;24.78559118;23.81160043;23.07420877;22.59757289;22.35859888;22.32668204;22.46932175;22.71227182;23.14914002;23.67383113;24.01297943;24.22432873;24.37994549;24.40222686;24.30973649;24.14874138;23.92109802
Population ages 00-04, male (% of male population);SP.POP.0004.MA.5Y;18.32297566;18.2834084;18.17949864;18.02638853;17.83359936;17.65237433;17.53042807;17.4543251;17.39498846;17.34267487;17.27455764;17.17444713;17.02677291;16.85277875;16.70807183;16.61221511;16.63393969;16.78284299;17.00766591;17.30605382;17.63019642;17.62758173;17.64639549;17.91299695;18.04130394;18.03995733;17.93962398;17.66250712;17.20852668;16.64543199;15.88913244;15.14797431;14.54271609;13.99250336;13.28675929;12.34259728;11.30407169;10.25892054;9.339745765;8.656644591;8.216477926;7.950739308;7.82355161;7.744071717;7.67302357;7.638158943;7.644651682;7.708993119;7.831276974;7.983266185;8.141715311;8.31227113;8.505602159;8.715723819;8.932086955;9.099354775;9.201311047;9.239869821;9.148215825;8.863374782;8.439127199;7.969551795;7.478606676
Survival to age 65, female (% of cohort);SP.DYN.TO65.FE.ZS;35.634505;36.382694;35.625166;37.990132;38.708378;39.417624;40.696768;41.418973;41.63198;43.674621;44.970003;46.405255;46.905281;49.494888;51.004474;52.377947;53.908295;55.456325;53.859258;59.004646;60.230969;61.059174;62.828617;64.6958;66.277662;67.599077;68.621576;69.030677;70.188759;71.618331;68.95487;72.983929;73.827985;74.215974;75.095962;75.395099;76.568285;76.885702;77.771089;78.473158;79.160867;79.834711;80.516114;78.90167;81.855293;83.637845;83.975457;84.091419;83.576284;83.140977;84.217617;85.215437;85.827793;86.007655;86.792802;87.359422;87.89221;88.967939;88.849825;88.517992;85.10215;86.039875;null
Life expectancy at birth, female (years);SP.DYN.LE00.FE.IN;43.063;43.667;43.389;44.908;45.484;46.056;46.92;47.519;47.774;49.154;50.081;51.092;51.606;53.246;54.287;55.224;56.281;57.35;56.677;59.734;60.634;61.35;62.484;63.591;64.5;65.304;65.937;66.268;66.963;67.727;66.32;68.596;69.069;69.323;69.827;70.038;70.748;70.968;71.23;71.942;72.297;72.559;72.923;72.23;73.886;74.356;74.918;75.364;74.918;75.011;75.728;76.383;76.958;77.211;77.361;77.765;78.336;78.904;79.091;79.055;77.817;76.808;null
Mortality rate, adult, male (per 1,000 male adults);SP.DYN.AMRT.MA;379.547;374.821;386.826;371.587;366.413;362.791;360.295;354.854;362.357;347.679;344.644;337.136;335.276;327.051;321.309;313.445;306.88;303.196;321.124;293.277;327.023;427.785;415.773;403.184;327.544;321.712;315.349;313.198;306.644;232.204;254.133;227.384;227.125;220.674;220.137;214.638;216.361;210.797;203.039;196.604;189.732;186.268;176.971;185.88;167.186;161.205;161.016;154.965;157.641;156.806;161.742;154.045;145.04;143.721;135.806;133.452;127.687;125.2;121.821;127.359;154.124;151.24;null
Changes in inventories (current LCU);NE.GDI.STKB.CN;-15799420856;-7488177829;1400231103;-17574415005;-2313621140;2689996656;25355065185;-1650711181;47032724643;28522380678;31732844780;504960933.3;41482089460;16077582700;95750247111;-28587226620;-58844960850;-40084703874;-4.47031E+11;-3.88326E+11;7.39059E+11;5.20469E+11;-4.44117E+11;-3.97815E+11;-9.52985E+11;-1.36005E+12;-1.24155E+12;-1.19764E+12;-1.63483E+12;-4.3934E+11;2.29388E+12;4.03375E+12;6.59901E+12;2.72479E+12;-3.73051E+12;1.08381E+13;1.70952E+13;9.1591E+12;4.31534E+12;3.31244E+12;2.38358E+13;-4.04283E+12;5.94548E+13;1.18858E+14;2.41636E+14;2.06249E+14;2.78462E+14;3.69765E+14;3.82348E+14;4.12524E+14;6.50104E+14;4.76516E+14;4.94925E+14;7.95707E+14;1.02405E+15;7.9603E+14;1.00476E+15;1.63555E+15;2.02983E+15;null;null;null;null
Gross national expenditure (% of GDP);NE.DAB.TOTL.ZS;117.5088812;115.4828888;112.6430777;106.2859637;109.463888;110.3426857;112.5941816;112.6932116;113.8837584;114.8227236;115.7545427;109.3432658;110.1656168;96.81706898;88.85449882;110.774628;107.3929272;110.9064991;112.6758206;97.18610811;126.5693198;125.6145326;107.1345683;115.0617454;113.7758858;107.1947246;109.1767294;103.3664651;107.2430478;106.5699413;111.7437525;114.857057;113.1734128;97.05435052;89.02132429;94.46437882;97.53922042;99.53578777;104.8325148;96.43054508;97.75981446;98.34416476;97.36578414;97.9670861;99.91321811;91.99727017;92.55163798;90.63128281;93.47056297;96.5760745;93.98899787;91.49058306;97.48445766;94.76580194;97.10871253;100.9728227;95.92821608;96.77498218;95.66748027;null;null;null;null
Gross national expenditure (current US$);NE.DAB.TOTL.CD;4934355838;5112368697;5286977662;5238439782;5888988207;6838289243;7645075871;8514404523;9820393450;11187280840;12705502370;15014801754;18897218604;26219706476;41058857172;57354917725;73086573532;89390774362;87880736238;87848347617;1.19434E+11;1.26242E+11;1.34935E+11;1.79916E+11;1.84632E+11;1.93147E+11;2.28283E+11;1.38521E+11;1.31971E+11;1.28413E+11;1.39471E+11;null;null;61865959524;63954220125;91081822658;1.17441E+11;1.1339E+11;1.15606E+11;1.09785E+11;1.07137E+11;1.24778E+11;1.25239E+11;1.50423E+11;1.89879E+11;2.0833E+11;2.46464E+11;3.17102E+11;3.85413E+11;4.0214E+11;4.57546E+11;5.72853E+11;6.27835E+11;4.66983E+11;4.47072E+11;4.12184E+11;4.39308E+11;4.70936E+11;3.13694E+11;null;null;null;null
Households and NPISHs final consumption expenditure (% of GDP);NE.CON.PRVT.ZS;81.84181675;79.8340719;77.93628491;75.93292233;70.34925401;64.12430212;63.54608984;63.2950368;56.72388127;57.94582317;57.72425246;55.85458535;50.83385052;44.46741332;36.74698276;45.53727628;37.87008545;42.13220791;50.22860612;52.41649138;57.67569283;64.0872419;61.87682441;62.55738398;65.61797815;67.01484227;71.7186229;68.92329967;75.07512347;71.54117256;67.87553562;62.40622076;61.25888393;52.42815267;51.37321918;50.03272276;47.38500507;52.40022189;57.92447325;52.07258249;49.72716689;50.22078515;46.59456634;44.44229784;42.67812678;41.20336372;41.43660016;41.42524054;41.66039776;44.49558363;42.92200845;42.27294581;47.80559933;46.84665122;47.34892941;53.42159098;51.03832199;48.91613272;48.32369979;49.07656738;46.26938038;43.14413692;44.36363265
Households and NPISHs Final consumption expenditure per capita (constant 2015 US$);NE.CON.PRVT.PC.KD;865.1956528;844.9679367;838.211621;824.4334081;772.4073417;784.3279741;831.5812751;893.8724858;856.7332894;899.6409137;964.2765112;1075.250942;1104.044969;1215.673394;1442.974731;1841.632041;1781.946607;1851.860135;1830.75828;1831.35798;1688.283167;1654.0277;1689.936097;1866.855663;1898.260468;1863.847673;1618.621244;1470.605002;1437.11795;1399.688903;1632.419652;1711.328681;1747.946576;1791.184324;1705.622892;1580.757537;1622.223298;1733.139676;1756.743197;1730.76077;1882.987066;1964.2806;2160.969075;2173.471236;2326.981328;2452.703443;2597.654911;2886.697741;2745.578152;2764.526061;2845.005493;2932.315058;2840.587709;2771.635356;2737.519937;2666.237841;2730.60012;2733.651795;2651.380884;2496.04503;2488.723102;2567.354502;2642.216606
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;1.65943E+14;1.6122E+14;1.66509E+14;1.80488E+14;2.19494E+14;2.87779E+14;3.24235E+14;3.67492E+14;4.33604E+14;5.1039E+14;5.93314E+14;7.66812E+14;9.62317E+14;1.0255E+15;1.65886E+15;2.01729E+15;2.23782E+15;2.17898E+15;2.21657E+15;2.05639E+15;1.85909E+15;1.83973E+15;1.80403E+15;1.82291E+15;1.71024E+15;1.79269E+15;1.42388E+15;1.3249E+15;1.31857E+15;1.28018E+15;1.34749E+15;1.45784E+15;1.45225E+15;1.67396E+15;1.68044E+15;1.61968E+15;1.61371E+15;1.57073E+15;1.63529E+15;1.53969E+15;1.71386E+15;1.75923E+15;1.81004E+15;1.87836E+15;2.03781E+15;2.1151E+15;2.22358E+15;2.07624E+15;2.08055E+15;2.0586E+15;1.99296E+15;1.92069E+15;1.94352E+15;1.98687E+15;1.95972E+15;2.13696E+15;2.27382E+15;2.25518E+15;2.21621E+15;2.08792E+15;2.0684E+15;2.23913E+15;2.24929E+15
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;441628883.7;463370613.4;482394626.8;547619815.8;672634761.4;890052058;1006913855;1152311672;1358858104;1629270866;1909195636;2565524354;3297948621;4678795521;9740058793;12344590771;14585955159;16398422909;18189908865;17862741723;19843191802;21558579205;23281068672;25387620380;24524297056;28658015875;31876441355;19230685841;18500499586;14436464796;13537713758;null;null;9071295624;10311776643;13741170715;14891714526;13206336896;14390152102;13452671230;14172524682;16331278175;15071353299;17534075473;21353857010;27346910206;33196610504;33158619235;41450968396;46562847681;52597324517;82654790765;85836410033;63932402417;59021653848;63553947542;72268419828;78164055622;51830980620;43399160383;34597829480;51112333399;58652417325
Military expenditure (current LCU);MS.MIL.XPND.CN;7475000000;8025000000;8325000000;9750000000;11775000000;15150000000;19400000000;25075000000;33125000000;42875000000;46975000000;30475000000;28175000000;33125000000;2.62325E+11;4.0265E+11;5.048E+11;5.38075E+11;5.72E+11;3.5205E+11;3.4435E+11;6.3635E+11;8.115E+11;9.114E+11;8.9395E+11;9.7515E+11;9.2505E+11;1.09108E+12;1.29778E+12;1.17435E+12;1.1222E+12;1.18508E+12;1.29393E+12;1.83655E+12;2.97938E+12;4.37393E+12;6.21895E+12;8.14038E+12;9.6022E+12;1.16613E+13;1.46973E+13;1.82058E+13;2.24058E+13;3.04573E+13;4.51685E+13;6.09258E+13;8.02593E+13;8.66015E+13;1.04487E+14;1.24139E+14;1.3906E+14;1.51576E+14;2.00822E+14;2.20921E+14;2.56852E+14;3.07196E+14;3.78224E+14;4.59788E+14;4.59062E+14;5.27391E+14;6.94231E+14;1.26392E+15;1.85058E+15
Arms imports (SIPRI trend indicator values);MS.MIL.MPRT.KD;84000000;107000000;127000000;137000000;141000000;171000000;407000000;327000000;760000000;1305000000;1234000000;1753000000;1434000000;2091000000;2912000000;5272000000;4570000000;5626000000;3784000000;533000000;278000000;487000000;541000000;509000000;465000000;548000000;803000000;833000000;478000000;192000000;454000000;1022000000;432000000;985000000;446000000;290000000;611000000;174000000;377000000;319000000;414000000;522000000;433000000;280000000;119000000;55000000;421000000;329000000;60000000;95000000;95000000;94000000;40000000;13000000;13000000;13000000;413000000;3000000;3000000;3000000;2000000;null;null
Fixed telephone subscriptions;IT.MLT.MAIN;116417;116417;116417;116417;116417;200000;200000;200000;200000;200000;285000;285000;285000;285000;285000;685000;814000;830000;850800;852840;915122;1025043;1055757;1120670;1202166;1318638;1480235;1661228;1879682;2029038;2199285;2456437;2997852;3597900;4319900;5090363;5824968;6503466;7354992;8371167;9486260;10896572;12887525;15340805;16342050;20339000;22626944;23835000;24800000;25804100;25815161;27766931;28758465;29688558;29376105;30418973;30869311;31069938;30481734;28954855;29093587;29306782;29342060
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;13.84907846;13.73214744;14.49735569;15.33100555;16.39828245;16.15027492;16.29439235;17.29653821;17.47918559;18.02808464;18.46554497;23.105223;22.94745776;33.44007603;47.3709309;40.73573593;37.20500494;30.79530351;23.47453727;26.74633592;13.73602576;12.3697234;17.0902701;14.53382417;11.31343891;8.883595381;3.73161572;9.157403211;7.285160407;9.827269633;13.2787418;13.82432029;13.16459067;25.41011165;28.28619241;21.6762407;20.19513024;17.27793087;12.68338091;19.2920232;21.46705757;19.30332036;24.41390215;24.62747283;25.26692826;30.33081919;29.86903525;28.84361241;26.57712745;22.71148914;24.39965328;24.93331313;22.4753002;25.18290674;22.83067239;18.72083451;21.161708;22.73568826;30.21775173;23.48386714;19.42460893;22.83923199;19.79617059
Exports of goods and services (current LCU);NE.EXP.GNFS.CN;44051762285;46049574634;51543558593;57237323786;66826823059;75816978627;83808228022;98991601871;1.14175E+11;1.33054E+11;1.53532E+11;2.40337E+11;2.98173E+11;6.23805E+11;1.48029E+12;1.43772E+12;1.78594E+12;1.75185E+12;1.29031E+12;1.70384E+12;9.27728E+11;9.94855E+11;1.81783E+12;1.98233E+12;1.68724E+12;1.40432E+12;5.97289E+11;1.77831E+12;1.59549E+12;2.67618E+12;5.04413E+12;7.43547E+12;9.46023E+12;2.69685E+13;3.95248E+13;4.27824E+13;5.46131E+13;5.47085E+13;4.48418E+13;9.16324E+13;1.34828E+14;1.42518E+14;2.49904E+14;3.09845E+14;4.13628E+14;6.15688E+14;7.29465E+14;9.3664E+14;1.03325E+15;9.32867E+14;1.22872E+15;1.7194E+15;1.77458E+15;2.6782E+15;2.79783E+15;2.26595E+15;3.04917E+15;3.80514E+15;6.49971E+15;6.42613E+15;7.92357E+15;1.52508E+16;1.99204E+16
Gross national expenditure (constant 2015 US$);NE.DAB.TOTL.KD;43735468894;45025664559;45471172274;47455600242;51842807630;60727766936;67255068161;75824534348;86969642376;95159163114;1.05109E+11;1.14196E+11;1.41902E+11;1.51673E+11;2.19698E+11;2.9002E+11;3.48113E+11;3.55676E+11;3.13344E+11;2.47836E+11;2.59396E+11;2.41278E+11;2.36947E+11;2.84464E+11;2.50484E+11;2.42413E+11;2.20315E+11;2.1193E+11;1.76657E+11;1.89386E+11;2.27223E+11;2.68488E+11;2.63689E+11;2.39696E+11;2.08245E+11;2.17476E+11;2.43386E+11;2.48558E+11;2.5474E+11;2.56307E+11;2.77402E+11;3.02164E+11;3.4117E+11;3.7099E+11;3.97872E+11;4.05541E+11;4.30408E+11;4.7431E+11;4.86589E+11;4.9737E+11;5.2734E+11;5.24089E+11;5.03327E+11;4.82051E+11;4.9092E+11;4.12184E+11;4.68541E+11;4.83013E+11;4.66456E+11;null;null;null;null
Final consumption expenditure (% of GDP);NE.CON.TOTL.ZS;92.35895774;90.30111373;88.21406911;87.04392146;82.85211759;78.48618869;78.37558837;78.54656764;72.48209593;74.6681457;75.11813909;74.53766994;70.05998911;61.74400904;57.82521295;69.37947683;59.30259139;62.47761479;73.55070144;72.17793704;78.7044267;85.53871118;80.36138061;78.79349497;80.73061769;82.91973659;86.96361114;83.27348729;90.1091078;83.52200289;78.7219099;72.68247763;70.9735195;66.65905949;65.72673659;64.28420695;59.75313483;63.99294826;70.97357997;63.8888797;62.65928097;63.09234807;58.31167315;55.86181906;53.91443027;53.2796066;53.90252062;50.90233768;51.71310988;55.67790358;53.72654862;55.47377949;61.13349949;59.82059043;60.16905539;68.9904142;66.81901674;64.97844536;64.13061371;64.37684309;60.70104836;57.37771351;59.45905213
Final consumption expenditure (current LCU);NE.CON.TOTL.CN;2.93779E+11;3.02817E+11;3.13634E+11;3.24973E+11;3.37642E+11;3.68451E+11;4.03115E+11;4.49538E+11;4.73457E+11;5.5108E+11;6.2457E+11;7.75329E+11;9.10342E+11;1.1518E+12;1.80697E+12;2.44866E+12;2.84669E+12;3.55415E+12;4.04282E+12;4.598E+12;5.31568E+12;6.87959E+12;8.54774E+12;1.0747E+13;1.20398E+13;1.3108E+13;1.39196E+13;1.61712E+13;1.97344E+13;2.27449E+13;2.99037E+13;3.90926E+13;5.10024E+13;7.07473E+13;9.1841E+13;1.26878E+14;1.61589E+14;2.02626E+14;2.50926E+14;3.03457E+14;3.93544E+14;4.65816E+14;5.96886E+14;7.02814E+14;8.82597E+14;1.08153E+15;1.31641E+15;1.65295E+15;2.01046E+15;2.28695E+15;2.70557E+15;3.82547E+15;4.8269E+15;6.36192E+15;7.37354E+15;8.35052E+15;9.62788E+15;1.08751E+16;1.37942E+16;1.76161E+16;2.47608E+16;3.83137E+16;5.9832E+16
